quality,emotion,organization,instruction,Whole_Class,Individual,Multiple,Peers,Task
3.89,2.67,4.67,4.33,51.00,15.00,5.50,9.50,18.90
6.33,6.00,6.33,6.67,44.00,21.50,1.90,11.00,21.80
4.00,3.33,5.33,3.33,42.70,22.60,20.00,4.80,10.00
5.56,5.67,5.00,6.00,32.00,30.00,7.50,20.00,9.90
4.33,4.00,5.00,4.00,61.00,13.00,6.60,11.00,8.00
6.22,6.00,6.00,6.67,32.00,7.00,0.20,55.00,5.70
5.78,5.67,5.33,6.33,38.60,41.60,0.20,18.00,1.60
3.11,2.33,4.33,2.67,61.50,2.20,1.30,0.00,29.00
5.00,4.67,5.67,4.67,39.00,23.40,11.90,6.00,19.40
3.89,3.00,4.67,4.00,67.50,7.00,0.30,23.00,2.20
3.22,2.67,3.67,3.33,27.00,46.90,0.00,4.90,21.00
3.89,3.67,4.33,3.67,49.10,2.70,0.00,8.10,40.10
4.00,3.00,4.33,4.67,55.00,16.20,6.60,18.20,4.00
3.67,2.67,4.67,3.67,78.70,2.30,0.80,9.20,9.00
