Positive_Climate,Teachers_Sensitivity,Regard_Student_Perspective,Behavior_Management,Productivity,Instruction_Learning_Format,Content_Understanding,Quality_OF_Feedback,Language_Development,TSs,TU,SL,SS,CX,Gender,Degree,Title,Experience,School
2,2,1,3,5,4,3,4,2,51,15,19,9.4,5.5,1,2,0,23,1
3,4,7,5,4,7,6,6,6,44,21.5,22,11,1.9,1,2,0,25,2
4,3,3,5,6,5,6,5,4,42.6,22.5,10,4.8,20,2,3,2,8,1
5,4,5,4,6,6,4,5,5,32.4,30,9.9,20.4,7.5,2,2,0,10,2
5,6,5,5,6,5,5,5,6,61,13,8.1,10.9,6.6,2,2,0,10,2
5,5,7,4,5,7,6,6,5,32,7,5.7,55.2,0.2,1,2,0,20,2
3,3,5,4,6,6,7,6,5,38.6,41.7,1.6,18,0.2,2,2,1,7,1
2,3,3,5,3,3,4,3,3,67.5,2,29,0,1.3,2,2,0,25,2
3,2,2,5,6,6,6,4,3,39.3,23.4,19.3,6,11.9,2,2,0,6,2
3,3,3,4,5,4,3,3,3,67.5,6.9,2.2,23,0.3,2,2,1,16,1
2,5,4,5,5,4,4,4,3,49,2.7,40.1,8.1,0,,,,,
4,2,3,4,5,4,6,5,3,55,16.2,3.9,18.2,6.6,,,,,
2,3,3,5,6,3,5,3,3,78.8,2.3,9,9.2,0.8,,,,,
4,5,6,5,5,5,6,6,6,28,11.4,17.1,38.3,5.4,,,,,
2,3,3,5,6,4,5,5,4,,,,,,,,,,
