Positive_Climate,Teachers_Sensitivity,Regard_Student_Perspective,Behavior_Management,Productivity,Instruction_Learning_Format,Content_Understanding,Quality_OF_Feedback,Language_Development,TSs,TU,SL,SS,CX,NC
2,2,4,5,7,3,3,5,5,51,15,19,9.4,5.5,1
5,6,7,6,7,7,7,6,7,44,21.5,22,11,1.9,1
4,3,3,6,7,3,3,3,4,42.6,22.5,10,4.8,20,1
5,5,6,3,7,5,5,7,6,32.4,30,9.9,20.4,7.5,1
4,4,4,4,7,4,4,4,4,61,13,8.1,10.9,6.6,1
6,6,7,4,7,7,7,7,7,32,7,5.7,55.2,0.2,1
6,6,6,4,6,6,5,7,7,38.6,41.7,1.6,18,0.2,1
2,3,2,5,5,3,2,4,2,67.5,2,29,0,1.3,1
5,5,4,6,6,5,5,5,4,39.3,23.4,19.3,6,11.9,1
2,3,4,3,7,3,4,4,4,67.5,6.9,2.2,23,0.3,1
